GrossQTYRan,NumPerUnit,NumPerBundle,BoxLength,BoxWidth,BoxDepth,SheetLength,SheetWidth,NumInk,PercInk,Cost1,prodmonth,CostSet,CostRun,Cost1log,CostSetlog,CostRunlog,Machine4,ProductCodeEVOL,StyleRSC,StyleRSCL,CuttingDieOthers,CuttingDieUN,Grade40,Grade200,Grade32,FluteC,GlueJointGlue,WRAY,33Medium,26Medium,RockTennMRA,NUGHZ,NUG,40Medium,WRADW,33MediumDW,26MediumDW,Michelman40E,250BoxUnit,500BoxUnit,100Coverage,15PerBundle,BoxWidth55,DCAttachment,EaInkChange,EaPlateChange,ExtGlueTab,FullDieCut,FullPartDC,HHAttachment,Ink50
1123,375,0,19.375,15,9.375,70.75,17.1875,0,0,0.4965574,7,0.0495,0.4470574,0.479057389,0.345687329,0.487662071,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,300,0,15.6875,12.4375,11.8125,58.25,24.5625,1,0.15,0.0265315,10,0.0238,0.0027315,0.405410962,0.340622555,0.419853074,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086,600,5,13.9375,8.9375,3.375,47.75,12.875,1,0.15,-0.1554932,10,-0.1143,-0.0411932,0.373161025,0.312346639,0.412536748,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1736,500,0,9.5625,8.625,9.125,38.375,18.125,2,0.17,-0.0884232,11,-0.0835,-0.0049232,0.385324445,0.318814349,0.418586903,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4073,500,25,13.5,13.5,2.75,56,16.75,2,0.2,-0.0190326,7,0.0531,-0.0721326,0.39756013,0.346392098,0.407308321,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,300,0,22,17.25,6,80.5,23.875,0,0,0.0428731,10,0.0045,0.0383731,0.408192445,0.336779833,0.425700456,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,150,5,14.875,10.875,15,54,27.125,1,0.1,-0.0343776,9,-0.0566,0.0222224,0.394883869,0.324385356,0.423060514,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,250,0,20.75,14.125,5.5,71.75,20.125,0,0,1.893822,11,0.1773,1.716522,0.644504448,0.370031713,0.637806709,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,600,0,15,10,11,52,21.625,1,0.15,-0.0382326,6,-0.0129,-0.0253326,0.394208933,0.333286022,0.415192812,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,300,5,21.3125,12.25,10.4375,69.125,23.3125,1,0.15,0.0099002,4,-0.0346,0.0445002,0.402561759,0.32888904,0.426697789,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,750,5,16.5,7.25,5.3125,49.5,12.9375,1,0.15,-0.086737,8,-0.0735,-0.013237,0.385625897,0.32089371,0.417207515,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,750,0,11.5625,6,11.5625,37.0625,18.0625,1,0.15,0.0888576,2,0.0762,0.0126576,0.415925146,0.350887356,0.421489482,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22373,500,25,17.5,12.25,4.25,61.5,16.875,1,0.02,-0.0279926,10,0.2381,-0.2660926,0.395999456,0.381151195,0.373013977,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
508,300,0,15.625,13.0625,15.25,59.375,28.875,0,0,0.028824,2,0.0259,0.002924,0.405802241,0.341038632,0.419884868,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3738,240,20,14.5,13.5,8.5,58,22.625,1,0.1,0.1513444,12,0.0718,0.0795444,0.426216947,0.350034696,0.432358477,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4136,500,0,13.375,6.875,5.125,42.5,12.5,2,0.2,0.0196968,8,-0.0771,0.0967968,0.404242332,0.320146286,0.435118386,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19357,1000,5,11.375,8.375,5.1875,41.5,9.625,1,0.4,0.2735666,5,-0.0315,0.3050666,0.445668549,0.329519912,0.467121512,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5174,500,25,13.25,7,9.3125,42.5,16.8125,2,0.17,1.6762376,12,0.9039,0.7723376,0.622533604,0.487279816,0.531349171,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,500,25,10.625,10.625,13.4375,44.5,19,1,0.15,0.4264816,9,-0.0507,0.4771816,0.468838721,0.325597753,0.491897703,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10296,750,0,8.875,5.3125,11.5625,30.375,17.1875,1,0.25,-0.2227952,4,-0.0993,-0.1234952,0.360603182,0.315508531,0.398487153,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657,414,23,13.125,9.4375,4.375,47.125,14.375,0,0,0.0156066,3,-0.013,0.0286066,0.403541463,0.333265861,0.424105974,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,1000,0,15.625,8.125,5.875,49.5,10.1875,1,0.2,0.0458376,7,0.0043,0.0415376,0.408695125,0.336739833,0.426215841,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6002,500,0,11,9.25,5.25,42.5,15,1,0.15,-0.1478324,3,-0.0816,-0.0662324,0.374567701,0.319210194,0.408310261,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7501,500,0,9.5625,8.625,9.125,38.375,18.125,2,0.1,-0.1634662,3,-0.05,-0.1134662,0.371692169,0.325741372,0.400223699,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4647,750,5,11.625,7.625,8,40.5,16.125,0,0,0.3996686,4,0.0648,0.3348686,0.464864274,0.348674732,0.471513995,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,240,15,22,11,11.25,68,22.75,1,0.1,0.4096896,1,0.0651,0.3445896,0.46635393,0.348733104,0.472937207,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,100,0,22.25,12,6.125,70.5,18.75,1,0.2,-0.0057972,7,-0.0413,0.0355028,0.399855291,0.327522403,0.425232457,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18798,250,25,22.125,14,10,74.25,24.375,1,0.15,0.2692086,7,0.0568,0.2124086,0.444989748,0.347115255,0.453173867,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,240,20,20.625,12.25,11,67.75,23.75,0,0,0.874808,7,-0.0827,0.957508,0.530411644,0.318981064,0.554386759,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,1200,0,13.25,7,5.0625,42.5,12.5625,2,0.15,-0.1367124,10,-0.116,-0.0207124,0.376601481,0.311986835,0.415963479,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3156,500,0,18.9375,8.6875,13.5,57.25,22.75,1,0.2,-0.0151272,7,-0.0098,-0.0053272,0.398238631,0.333910543,0.418519975,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
213,150,0,18.625,11.125,10.875,62,23.25,1,0.15,-0.0344479,10,-0.0457,0.0112521,0.39487157,0.326622565,0.421258147,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,250,25,17.875,9.125,15,56,24.75,2,0.25,-0.099492,1,-0.0846,-0.014892,0.383340397,0.31858501,0.416932402,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17078,1125,0,8.8125,6.6875,6.8125,32.75,13.75,1,0.25,1.4708364,1,0.0065,1.4643364,0.600720649,0.337179625,0.611827696,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,250,0,11.125,11.125,17,46.5,28.625,2,0.25,0.0689956,4,-0.0119,0.0808956,0.412602052,0.333487578,0.432575266,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35135,750,25,15.125,7.375,5.5,47,13.375,0,0,0.919763,11,0.0862,0.833563,0.536130224,0.352819017,0.539102432,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3868,300,0,21.5,9.75,6,64.5,16.375,0,0,-0.0557616,5,-0.0033,-0.0524616,0.391126649,0.335217116,0.410639789,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40556,900,0,11,8.25,9.75,40.25,18.3125,1,0.15,0.6138928,12,-0.0677,0.6815928,0.495646947,0.322095193,0.519596956,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,750,5,14.25,10.75,4.25,51.75,15.3125,1,0.15,-0.0580186,3,-0.0385,-0.0195186,0.390728185,0.328094058,0.416162387,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
